ID,Performance Index,Previous Scores (out of 10),Sample Question Papers Practiced,Hours Studied,Hours Prepared for Exams,Hours Free time,Sleep Hours,Hours Not Sleep,Extracurricular Activities,Has a car,Sex,Height,Weight,BMI,Eye color,Nails length,Favorite Subject,Least Favorite Subject
44,54.0,6,5,5,2,9,4,20,Yes,No,f,1.5544271677464787,93.7718002800622,38.808914692526415,blue,0.001240118092937,History,PE
45,92.0,10,7,6,3,6,8,16,No,No,f,1.6869339089734394,49.26454179718148,17.311643965378146,brown,0.0064591310449597,Drama,Algebra
46,75.0,7,0,7,3,6,9,15,Yes,No,f,1.582538887896061,67.84692021591377,27.090770482938733,brown,0.0094366391782438,Biology,
47,85.0,10,0,6,3,5,9,15,No,No,f,1.6596651772286046,64.3035167708151,23.34499372896997,green,0.0030321612242972,Data Science,
48,79.0,9,7,5,2,12,6,18,Yes,No,m,1.6623666017393548,79.66940967633016,28.82955834385665,hazel,0.0068438521532687,,PE
49,40.0,5,4,8,3,5,5,19,No,No,f,1.601300224691883,60.10309401151505,23.439659588852383,green,0.0079949325464986,Machine Learning,Art
50,69.0,8,4,3,2,11,5,19,Yes,No,m,1.6770492016262646,80.40828906045593,28.58967462863827,green,0.0069889541274051,PE,Data Science
51,81.0,9,0,7,3,5,6,18,Yes,No,m,1.6815531247712938,63.93539325185328,22.61102009588776,brown,0.0044168799730393,Machine Learning,Art
52,36.0,6,8,3,2,12,4,20,No,No,m,1.7321644992181735,82.35947377868625,27.449554235732045,hazel,0.0065755962527676,Art,Biology
53,41.0,3,6,9,4,6,8,16,Yes,No,m,1.7909067137159107,80.86442197273753,25.212247247404605,gray,0.0023360528850977,,Algebra
54,71.0,8,6,6,3,7,5,19,Yes,No,f,1.591392718425337,75.676130501992,29.88162314646397,brown,0.0055384028351883,PE,History
55,71.0,10,7,2,1,12,7,17,No,No,f,1.5182925057418806,66.81945223722603,28.98624871911479,gray,0.0017156948812505,Biology,Art
56,58.0,6,1,6,3,4,9,15,No,No,m,1.72972055473394,68.00079245492495,22.728045035379665,brown,0.0038687995365916,Algebra,Drama
57,52.0,7,5,1,1,12,4,20,No,No,m,1.6672433284539545,67.55145554347479,24.30170444921113,brown,0.0093780641744294,Art,Algebra
58,63.0,7,1,9,4,6,7,17,Yes,No,m,1.7045661576431308,65.33225461423383,22.4853640007756,gray,0.0057488488146527,Drama,PE
59,73.0,8,6,5,2,9,7,17,Yes,No,f,1.65136890066108,73.91187497421542,27.103539911101286,brown,0.0081660928989408,Art,Biology
60,50.0,6,0,8,3,7,7,17,No,No,f,1.640730725682818,88.92119948936238,33.03168209727532,green,0.0066779271237092,PE,Machine Learning
61,81.0,8,9,6,3,13,4,20,No,No,m,1.6366942486334362,71.93005957896528,26.851917700079373,brown,0.000292363262692,Biology,Drama
62,41.0,5,4,2,1,12,9,15,Yes,No,m,1.703595098120358,86.02483667755747,29.64088000429361,brown,0.0084600571824429,Art,PE
63,45.0,5,4,9,4,4,6,18,No,No,f,1.5969560858897665,54.24602975115205,21.270711158704763,green,0.0039159241795445,Algebra,Data Science
64,64.0,7,6,7,3,7,9,15,No,No,f,1.672701496693577,65.58148976094247,23.43928647196855,gray,0.0001501406092098,Data Science,Art
65,52.0,7,8,2,1,8,9,15,No,No,f,1.714982282892908,56.46909205980201,19.19957120095267,gray,0.0087449976609448,,Biology
66,38.0,6,6,3,2,8,4,20,Yes,No,f,1.5162739259583458,77.62462279723782,33.76324413844565,brown,0.003416738780405,,Art
67,25.0,3,2,4,2,7,8,16,No,No,m,1.701978009309527,60.90918029901325,21.026881447142635,hazel,0.0094254420330112,,PE
68,96.0,9,6,8,3,3,9,15,No,No,m,1.6384073845350138,79.1816140925429,29.49718398174925,gray,0.0055772575673199,Algebra,Drama
69,51.0,7,5,5,2,7,5,19,No,No,f,1.6152713523481024,70.3727429514335,26.972021527815624,gray,0.0074127363324327,Drama,Art
70,94.0,10,7,8,3,9,6,18,No,No,m,1.7397469758868815,75.30155377923766,24.8789333737086,brown,0.0006198173583651,Drama,
71,65.0,7,0,3,2,12,8,16,No,No,m,1.6271717232545644,72.36517023784131,27.331458706846348,brown,0.0091488029044382,History,PE
72,52.0,6,4,5,2,12,5,19,Yes,No,m,1.7602535600632592,53.08539037514208,17.1326503889501,hazel,0.0095172831959931,Algebra,Art
73,39.0,6,7,2,1,14,4,20,Yes,No,f,1.552923667608741,65.1152520706779,27.00116533964185,brown,0.0075705734736972,Art,Art
74,83.0,8,6,9,4,6,6,18,Yes,No,f,1.632766071989187,58.89091793286089,22.090237692458157,brown,0.0075879433206879,Music,Biology
75,42.0,6,2,7,3,10,5,19,No,No,f,1.5756302991999651,90.81241822133484,36.57940131697188,brown,0.0035148679054924,,Biology
76,53.0,8,3,1,1,13,4,20,Yes,No,m,1.7667954549955298,63.11571627042736,20.219246568918027,green,0.0042121284169732,Art,Drama
77,74.0,7,1,8,3,8,5,19,No,No,m,1.64267467042717,57.479053998388,21.301318734318286,gray,0.0018562842423244,Music,Drama
78,79.0,8,4,7,3,4,9,15,Yes,Yes,m,1.7205340160813742,69.66409978435884,23.53328220435386,gray,0.0081416343058579,Drama,PE
79,72.0,8,0,5,2,6,8,16,Yes,No,f,1.5302269656764729,55.08395120710241,23.524119843610137,brown,0.0034712560189096,Biology,Drama
80,55.0,6,9,9,4,7,7,17,Yes,No,f,1.6379718184084582,59.27128692831173,22.09182051862286,brown,0.0093060162730596,Algebra,Biology
81,36.0,5,3,7,3,8,5,19,No,No,m,1.6987682012734355,61.38402304391615,21.270960557828687,gray,0.006020556717536,,History
82,62.0,8,5,3,2,10,8,16,Yes,No,f,1.5870860474491544,56.412925761133664,22.396372233193677,brown,0.0051924005083257,Music,Drama
83,87.0,9,8,4,2,5,9,15,No,Yes,m,1.70165518559224,73.78771264939519,25.48243498107673,hazel,0.0066779993871844,Data Science,History
84,25.0,5,0,1,1,13,9,15,No,No,m,1.7715702389213084,71.13467393251169,22.66546291537814,gray,0.0092574013925419,Art,History
85,62.0,8,1,2,1,11,9,15,Yes,No,m,1.5926770420231693,66.59895872962576,26.254998590210068,brown,0.0084588622854248,Data Science,
86,62.0,5,8,8,3,5,9,15,No,No,m,1.735555886425928,62.16796515462242,20.63903781358913,brown,0.0076975533962038,History,Art
87,29.0,3,2,5,2,11,7,17,No,No,m,1.745004952997376,67.00954420212447,22.006112857785887,brown,0.007823976047271,Music,History
88,76.0,9,6,5,2,5,8,16,Yes,No,m,1.8435473712972288,85.35845764882728,25.115276049037487,gray,0.0054784498650806,PE,Drama
89,90.0,9,4,6,3,4,9,15,No,No,m,1.6713595311569076,79.14195394225722,28.33133267462377,gray,0.001653633732559,Algebra,Biology
90,70.0,9,6,2,1,14,6,18,No,,m,1.7282543544281426,62.87858551899526,21.051713161107187,brown,0.0004167242285739,,Biology
91,48.0,7,7,3,2,10,9,15,No,Yes,f,1.6908923836980758,66.53307194620027,23.2704959982712,green,0.0011558065644772,Art,
92,86.0,9,6,7,3,6,6,18,Yes,Yes,f,1.7111920850009383,52.893755371399855,18.063706857005364,brown,0.0080939874989415,History,Biology
93,81.0,10,0,5,2,6,8,16,No,No,m,1.655083578301424,57.6604614450031,21.049328912177952,brown,0.0057212496272827,PE,Art
94,72.0,10,9,1,1,11,7,17,No,No,m,1.6856351786147068,74.2618797141462,26.13597856814075,brown,0.005277833555619,Drama,Data Science
95,74.0,9,2,3,2,11,6,18,Yes,No,m,1.7573231781308296,77.65955780028152,25.14731598879652,gray,0.0008610828943581,Data Science,Algebra
96,67.0,6,7,8,3,6,8,16,Yes,Yes,m,1.678703486077712,70.05532679876438,24.85954518110633,,0.0050596556777475,Music,Data Science
97,48.0,6,5,6,3,9,7,17,No,No,m,1.8266572018446297,60.98038846692762,18.275786658639905,gray,0.0048703858265258,PE,History
98,63.0,6,6,9,4,6,4,20,No,No,f,1.7539744915339055,48.68218261831123,15.824263102032273,green,0.0097353945236899,Music,
99,86.0,8,3,9,4,3,9,15,Yes,No,m,1.7266473741474495,67.9544327667251,22.793472147557967,brown,0.0072649489527909,PE,Algebra
100,50.0,6,1,2,1,15,4,20,No,No,f,1.608117862085232,59.335231887111874,22.944409875679444,green,1.9807312598180135e-05,Drama,Data Science
101,69.0,8,7,5,2,11,4,20,No,,f,1.5661491140994084,76.63928359859032,31.245337356787847,brown,0.0054792669598157,Machine Learning,Algebra
102,43.0,6,2,3,2,13,7,17,No,No,m,1.8054231092998367,70.89729992676679,21.75062302985919,brown,0.0050527638991429,Drama,Data Science
103,82.0,9,0,5,2,12,6,18,Yes,No,m,1.7501933286937552,64.59523844147265,21.087663241449672,brown,0.0082948413503956,,History
104,30.0,5,1,4,2,9,8,16,Yes,No,m,1.6879163700501254,61.5831721671504,21.61524714128025,gray,0.0058855594680434,Machine Learning,Algebra
105,51.0,6,8,8,3,4,8,16,No,No,f,1.6676832421658458,71.71752180067884,25.78684112960929,gray,0.0043147328316507,,Machine Learning
106,76.0,9,0,5,2,11,6,18,No,,m,1.698357689909241,68.4991524461505,23.747990904782142,brown,0.007440981556849,Machine Learning,Biology
107,44.0,6,3,2,1,15,5,19,Yes,No,m,1.690798862919363,61.760185954397954,21.603529027160217,brown,0.0052454394859121,History,Data Science
108,79.0,8,9,9,4,5,9,15,No,No,f,1.5903547991466405,92.12053024906274,36.42238507064345,gray,0.0049455871832407,Drama,Data Science
109,70.0,9,8,2,1,8,8,16,Yes,No,m,1.7383442505533606,76.93302402660494,25.458993644324725,gray,0.0034710922888054,Drama,Machine Learning
110,69.0,7,2,8,3,5,5,19,Yes,Yes,f,1.5558425914325815,94.37587727358792,38.98788615614534,brown,0.0039126677994978,,Biology
111,91.0,10,9,7,3,8,5,19,Yes,No,m,1.689137002305651,82.61689150731591,28.95603540987529,green,0.0027423790780333,PE,Drama
112,44.0,4,5,9,4,5,7,17,Yes,No,m,1.7018137630053565,71.25491620792214,24.603153178983945,brown,0.0057848906043103,PE,Drama
113,87.0,10,7,6,3,7,6,18,Yes,No,m,1.820098704758937,72.27784400248356,21.81801862578787,brown,0.0081734085615809,PE,
114,50.0,7,1,1,1,8,7,17,No,No,m,1.653427365306479,62.86922344905808,22.99682358445608,gray,0.0030627179966034,Art,History
115,64.0,8,0,6,3,6,7,17,Yes,No,f,1.6421575734279978,50.93598863008583,18.888396240439985,brown,0.0095500850493608,Music,Machine Learning
116,26.0,4,0,5,2,9,6,18,No,No,m,1.7116474011573106,79.05153192939638,26.98246860634672,brown,0.0096648326569427,Music,Art
117,81.0,7,5,9,4,10,4,20,Yes,No,f,1.6499150044899764,54.26959259922228,19.93578848429173,gray,0.0017692692910208,Music,Data Science
118,27.0,4,0,4,2,9,6,18,No,No,f,1.6729410677776029,71.5667401348011,25.57113179587077,brown,0.0038299484399336,Art,PE
119,74.0,8,7,5,2,12,6,18,Yes,No,m,1.7200096870498731,71.55278531489242,24.186039531606944,brown,0.0058752813135154,Machine Learning,Art
120,36.0,5,1,8,3,8,7,17,No,No,m,1.710338189283014,78.44098727076486,26.815078036858807,gray,0.0087272110248636,Drama,PE
121,66.0,9,4,1,1,13,8,16,Yes,,m,1.7277609771872533,80.8614672449886,27.08783501564461,gray,0.0050953322086288,Music,Algebra
122,80.0,9,1,4,2,11,4,20,Yes,No,m,1.649107358555298,65.36645877868162,24.035717922539952,blue,0.0047861208663497,PE,Art
123,46.0,6,5,6,3,7,4,20,Yes,No,f,1.512931452453153,46.64316718272859,20.37743559957683,hazel,0.0053168046973661,Art,Drama
124,66.0,8,2,1,1,10,9,15,Yes,No,f,1.6700702956349025,60.880860457102585,21.827865983323115,blue,0.0042118272627132,Art,PE
125,60.0,8,1,6,3,11,6,18,No,No,m,1.7067089463850291,68.56102897219289,23.5373950663314,brown,0.0083478411930739,Art,PE
126,59.0,7,6,3,2,11,5,19,No,No,f,1.631934685897956,42.13009289442329,15.819285725814028,brown,0.0030773286369418,Art,Biology
127,50.0,6,1,3,2,7,7,17,No,,m,1.624868636081992,74.97675987124855,28.398157059035896,gray,0.0046875609894484,,PE
128,53.0,7,9,4,2,6,9,15,Yes,No,f,1.6302751402774496,71.74183914529473,26.99297134218564,,0.0041832669956667,PE,Drama
129,79.0,7,3,8,3,5,8,16,No,No,f,1.5418010107820876,65.65864689694902,27.620737875407748,brown,0.0025914182967601,Machine Learning,History
130,31.0,4,8,3,2,13,7,17,Yes,No,f,1.5810962081480304,57.66368490140101,23.066717538787096,brown,0.0051903371122573,,PE
131,76.0,8,9,6,3,7,7,17,No,Yes,f,1.5668124729427588,63.95299625678113,26.051147390687145,brown,0.0097974772473764,Art,Machine Learning
132,30.0,4,6,7,3,4,8,16,Yes,No,f,1.5604713828414156,78.1154498880917,32.07933235612927,gray,0.0033009871984066,Art,History
133,61.0,6,3,9,4,5,5,19,No,No,f,1.5975950574738291,72.65463929674458,28.46622871720346,green,0.0068153560993072,PE,History
134,41.0,7,4,1,1,7,9,15,No,No,f,1.6393109202694935,61.84223790928513,23.012432799496043,gray,0.0080297357944701,Art,Drama
135,64.0,7,5,9,4,4,8,16,No,Yes,m,1.6842247725606208,68.20647611735826,24.04504036517743,brown,0.0052584695123048,Drama,Machine Learning
136,35.0,5,8,7,3,6,7,17,No,No,f,1.6230404543965762,69.09166594669384,26.228108707063413,brown,0.0054147279702287,Algebra,
137,43.0,5,6,4,2,15,4,20,Yes,No,m,1.6253513951032843,68.31893734415539,25.86107452677547,,0.0045021697304516,Art,Data Science
138,45.0,4,0,7,3,11,5,19,Yes,No,m,1.6961167012513354,59.57842427787159,20.709878535320914,gray,0.007520278994262,Machine Learning,PE
139,34.0,3,3,6,3,8,8,16,Yes,No,f,1.552492291376708,63.63481490233753,26.40194246505142,gray,0.0061946595156023,Music,Machine Learning
140,57.0,8,4,2,1,12,8,16,No,No,f,1.6941479193431426,77.29825573524617,26.931902932300392,gray,0.0063240560206125,PE,Data Science
141,46.0,7,3,1,1,7,8,16,No,Yes,f,1.5283703385783876,62.91906671741574,26.935501803400555,brown,0.0088240421834871,Art,
142,95.0,8,9,9,4,5,7,17,Yes,No,f,1.6227057757424057,78.666981387943,29.875344490499547,gray,0.0039566110332251,History,Algebra
143,60.0,6,3,5,2,9,7,17,No,No,m,1.6929237422274273,61.97356776920131,21.623784638154,green,0.0010333395752604,Art,Biology
144,56.0,6,1,8,3,5,9,15,No,No,f,1.659603384409047,72.67953294872169,26.38781946662976,,0.0023411001457148,PE,Data Science
145,54.0,6,5,6,3,12,5,19,Yes,Yes,f,1.6452018073851389,75.59234901503831,27.927977457864763,gray,0.0096275597376555,Art,Art
146,51.0,7,9,3,2,11,9,15,Yes,No,m,1.6757018492790885,85.67649549164521,30.51182578104425,gray,0.0096433233217388,Art,Biology
147,83.0,9,7,6,3,11,5,19,Yes,Yes,m,1.6181368845380564,58.00478593335737,22.15303906618361,hazel,0.0044094112810054,Music,Machine Learning
148,84.0,9,2,7,3,7,5,19,Yes,No,f,1.5591441059907627,62.41046853715019,25.673491102102435,brown,9.238275004994525e-05,History,PE
149,57.0,6,6,5,2,9,8,16,No,,m,1.6561039444002887,53.28184009510896,19.426923578159027,brown,0.0004324562354273,Music,Algebra
150,37.0,3,5,8,3,6,7,17,No,No,f,1.5483835882018258,72.86186517224643,30.39087229028114,gray,0.0003980890585404,Art,Drama
151,49.0,6,5,7,3,5,9,15,No,No,f,1.6759176556368596,46.01364561861841,16.382542032763027,gray,0.0033503873471791,,Data Science
152,38.0,6,3,1,1,12,9,15,Yes,No,m,1.701976267708504,68.9695977811422,23.809522913314144,brown,0.0097395674077132,,Machine Learning
153,24.0,3,3,3,2,11,7,17,Yes,No,f,1.738466571546329,47.05224527339787,15.568532007456716,hazel,0.0063901752361531,Biology,Drama
154,64.0,6,6,9,4,3,9,15,No,No,m,1.641656065960657,84.57780413051849,31.382826368743626,gray,0.0091024829947627,History,Drama
155,62.0,6,4,7,3,8,8,16,Yes,No,f,1.6688677558372265,77.84277698757518,27.949527684787174,brown,0.0023280979070333,Data Science,
156,66.0,7,1,6,3,9,8,16,Yes,No,m,1.7029820185711015,67.96146062161871,23.43379246486324,gray,0.0023534178875315,Drama,Algebra
157,43.0,6,4,2,1,13,7,17,Yes,No,f,1.6284240180737004,63.71155119696184,24.026094476430103,brown,0.0084481125312621,Art,Machine Learning
158,45.0,5,2,4,2,11,5,19,Yes,No,f,1.673986523596671,51.499437730618766,18.37801377339494,brown,0.0021239325427965,Algebra,Drama
159,43.0,5,4,4,2,11,5,19,No,No,m,1.7329593195112576,61.02828317999776,20.32143707782268,gray,0.0012023770947036,Music,Biology
160,41.0,5,2,9,4,10,4,20,Yes,No,m,1.7463489737262443,59.93844025682206,19.653656926060155,brown,0.0072048722472,Music,Machine Learning
161,74.0,7,2,9,4,10,4,20,Yes,Yes,f,1.537750922778801,84.03535113102998,35.53775806548976,gray,0.0011644563053663,Biology,Art
162,16.0,4,5,1,1,16,4,20,Yes,No,m,1.664060177164041,60.817199567951306,21.96283320159189,brown,0.0064628952682904,Art,PE
163,38.0,3,1,9,4,5,9,15,Yes,No,m,1.7187694617967084,55.768315156794216,18.87783850479633,gray,0.0032015657659468,PE,Data Science
164,43.0,5,1,6,3,8,5,19,No,No,f,1.6247677560056075,86.62250137268342,32.81316610662923,brown,0.0097889086921501,Art,Art
165,54.0,7,8,3,2,9,5,19,No,,f,1.6422254933998457,53.58444182822592,19.868868331864007,brown,0.0062938048839765,Biology,History
166,47.0,7,8,4,2,12,6,18,No,No,f,1.601696544824307,64.58454033723051,25.17491978967489,gray,0.0046658156245397,Music,Machine Learning
167,44.0,5,8,6,3,5,8,16,Yes,No,f,1.585743247282242,59.19600298425697,23.541094031021053,brown,0.0082612719739883,Machine Learning,History
168,71.0,9,3,4,2,11,4,20,No,No,m,1.8160797184064383,68.78046819439415,20.85428532034047,green,0.0083455089394995,,Biology
169,71.0,8,0,3,2,10,9,15,No,Yes,m,1.7249859023628968,80.13019550416752,26.929302333190503,brown,0.003922530432708,PE,Drama
170,83.0,8,0,8,3,8,5,19,No,No,m,1.6813092159788754,91.89572846179752,32.508740046856104,green,0.0061378581050872,Music,Drama
171,93.0,9,2,9,4,6,6,18,Yes,No,m,1.6710391788206624,69.51839998821444,24.89582389195512,brown,0.0098614814359228,,Drama
172,60.0,7,3,1,1,14,6,18,Yes,No,m,1.4873857567929571,73.47800877163229,33.21315573125967,green,0.0014963487007569,Art,Drama
173,56.0,5,5,9,4,7,4,20,No,No,f,1.604545431034361,72.43696146685404,28.13560046015712,hazel,0.005272133351491,Biology,Algebra
174,60.0,6,3,8,3,5,8,16,No,No,m,1.6615610179971183,79.3606379554141,28.74567830537925,brown,0.0068278615355399,Biology,Data Science
175,76.0,9,1,5,2,8,7,17,No,No,m,1.5962777171835103,60.81437020091509,23.86653166369892,hazel,0.0052363425821889,PE,Algebra
176,61.0,7,1,6,3,6,8,16,No,No,m,1.6958233876420894,86.04400300266144,29.919846825234284,brown,0.0061292606018103,Data Science,Art
177,54.0,6,8,7,3,4,8,16,No,No,f,1.547562587666584,71.81836443063861,29.98741750258296,green,0.0059725560213254,History,Art
178,61.0,6,6,8,3,6,5,19,No,No,m,1.694042611570295,72.2532278258844,25.177267426398696,brown,0.006037035320993,Biology,History
179,52.0,6,0,2,1,11,8,16,Yes,No,f,1.5365278975577346,85.21948536884916,36.095911036188056,gray,0.002576093027041,Machine Learning,Algebra
180,57.0,8,8,3,2,12,8,16,No,No,m,1.753227400181808,63.27995297493104,20.58683809390894,brown,0.0001279925373657,,Data Science
181,51.0,5,6,9,4,5,8,16,Yes,No,f,1.662209872562184,93.4912210956816,33.83756611085486,brown,0.0022313129809012,Machine Learning,Algebra
182,83.0,8,6,6,3,8,6,18,Yes,No,f,1.5518437638092004,84.1536212699944,34.944338085185066,gray,0.0052781857072137,Art,Machine Learning
183,40.0,5,6,8,3,3,9,15,No,No,f,1.5749129490051348,72.100307683967,29.068592947739152,gray,0.0020998605225689,Algebra,History
184,46.0,5,6,6,3,5,8,16,Yes,No,m,1.6775745063957908,77.40890689956156,27.505991183537237,brown,0.0016720663663265,Music,PE
185,82.0,8,0,6,3,10,7,17,No,Yes,m,1.7808834762469197,73.61448959750139,23.210916890215056,gray,0.0005269177397858,History,PE
186,47.0,5,7,5,2,7,4,20,Yes,No,m,1.7215414859386522,94.0332212747596,31.72826529252015,green,0.0037906238710638,Biology,
187,31.0,5,8,4,2,10,9,15,Yes,No,m,1.6823344886899063,62.193233366289775,21.9744715303775,blue,0.0032483990580787,Drama,
188,79.0,10,9,4,2,7,9,15,No,,f,1.555470862800513,73.06093325105834,30.19683701034664,gray,0.0079067920891597,,Art
189,60.0,7,2,6,3,7,4,20,No,No,m,1.7495323375707488,56.79763645276669,18.5560833746937,hazel,0.0017237568957571,Art,Biology
190,57.0,6,7,8,3,3,9,15,No,No,f,1.6893910531209704,70.18087483585573,24.58999258951932,brown,0.0078757012613613,Biology,PE
191,28.0,5,2,1,1,11,8,16,No,No,m,1.686112898253978,79.7448246987501,28.04976366497568,brown,0.0055173687962115,Art,Drama
192,37.0,3,5,9,4,5,8,16,No,No,f,1.6100262249302033,83.0963076759891,32.056479560109054,green,0.0049440043357941,Art,
193,34.0,6,0,2,1,8,7,17,Yes,No,m,1.623613947927558,64.91512104715655,24.625231625827546,brown,0.0073541570115724,Biology,
194,25.0,5,9,1,1,14,5,19,Yes,No,m,1.740333464157958,82.73616420630096,27.31683881594608,gray,0.0001604202752237,Machine Learning,Algebra
